GroupID,|,TextID,Comment,ko,en,jp,zh,zh-cht,pt-br,pt,es-la,es,fr,de,ru
BladeForging,|,Title,WeaponModify,담금질,Quenching,焼き入れ,淬火,淬火,tempera,tempera,Templado,templado,Trempe,Härten,Закалка
BladeForging,|,Comment,WeaponModify,장착 시 {Dmg=+8%} 증가합니다.,{Dmg=+8%} when equipped.,装備時{Dmg=+8%},装备时，{Dmg=+8%}。,{Dmg=+8%} 增加。,{Dmg=+8%} aumenta.,{Dmg=+8%} aumenta.,{Dmg=+8%} aumenta.,{Dmg=+8%} aumenta.,Augmente de {Dmg=+8%} lorsqu'équipé.,Beim Ausrüsten erhöht sich {Dmg=+8%}.,При установке увеличивается на {Dmg=+8%}.
Sharpening,|,Title,WeaponModify,연마,Sharpening,研磨,研磨,磨練,polimento,polimento,Pulido,pulido,Aiguisage,Schleifen,Полировка
Sharpening,|,Comment,WeaponModify,장착 시 {Dmg=+2} 증가합니다.,{Dmg=+2} when equipped.,装備時{Dmg=+2},装备时，{Dmg=+2}。,{Dmg=+2} 增加。,{Dmg=+2} aumenta.,{Dmg=+2} aumenta.,{Dmg=+2} aumenta.,{Dmg=+2} aumenta.,Augmente de {Dmg=+2} lorsqu'il est équipé.,Beim Anlegen erhöht sich {Dmg=+2}.,Увеличивается на {Dmg=+2} при установке.
EnergyReserve,|,Title,WeaponModify,에너지 확장,Energy Expansion,エナジー拡張,能量扩展,活力,vitalidade,vitalidade,Vitalidad,vitalidad,Extension d'énergie,Energieerweiterung,Расширение энергии
EnergyReserve,|,Comment,WeaponModify,장착 시 {MSt=+1} 증가합니다.,{MSt=+1} when equipped.,装備時{MSt=+1},装备时，{MSt=+1}。,裝備時 {MSt=+1} 增加。,"Ao equipar, {MSt=+1} aumenta.","Ao equipar, {MSt=+1} aumenta.",Aumenta {MSt=+1} al equipar.,Aumenta {MSt=+1} al equipar.,Augmente de {MSt=+1} lorsqu'il est équipé.,Beim Anlegen erhöht sich {MSt=+1}.,Увеличивается na {MSt=+1} при установке.
SoothingBreeze,|,Title,WeaponModify,편안함,Snug and Cosy,快適,舒适,舒適,conforto,conforto,Comodidad,comodidad,Confort,Gemütlichkeit,Комфорт
SoothingBreeze,|,Comment,WeaponModify,"장착 시 {Key.St} 회복속도 <Color=""#79D22A"">+20%</} 증가합니다.","<Color=""#79D22A"">+20%</} {Key.St} recovery speed when equipped.","装備時{Key.St}回復速度<Color=""#79D22A"">+20%</}","装备时，{Key.St}恢复速度<Color=""#79D22A"">+20%</}。",{Key.St} 恢復速度 +20% 增加。,{Key.St} velocidade de recuperação +20% aumenta.,{Key.St} velocidade de recuperação +20% aumenta.,{Key.St} velocidad de recuperación +20% aumenta.,La velocidad de recuperación de {Key.St} aumenta en +20%.,"Augmente la vitesse de récupération de {Key.St} de <Color=""#79D22A"">+20%</} lorsqu'il est équipé.","Beim Anlegen erhöht sich die Wiederherstellungsgeschwindigkeit von {Key.St} <Color=""#79D22A"">+20%</} .","Увеличивается на <Color=""#79D22A"">+20%</} скорость восстановления {Key.St} при установке."
CoolingSystem,|,Title,WeaponModify,쿨링 시스템,Cooling System,クーリングシステム,冷却系统,冷卻系統,Sistema de resfriamento,Sistema de resfriamento.,Sistema de enfriamiento.,Sistema de refrigeración.,Système de refroidissement,Kühlsystem,Система охлаждения
CoolingSystem,|,Comment,WeaponModify,"장착 시 {Key.CD} 회복속도 <Color=""#79D22A"">+20%</} 증가합니다.","<Color=""#79D22A"">+20%</} {Key.CD} recovery speed when equipped.","装備時{Key.CD}回復速度<Color=""#79D22A"">+20%</}","装备时，{Key.CD}恢复速度<Color=""#79D22A"">+20%</}。",{Key.CD} 恢復速度 +20% 增加。,{Key.CD} A taxa de recuperação aumenta em 20%.,{Key.CD} A taxa de recuperação aumenta em 20%.,{Key.CD} Aumenta la velocidad de recuperación en un 20%.,{Key.CD} Aumenta la velocidad de recuperación en un 20%.,"Augmente la vitesse de récupération de {Key.CD} de <Color=""#79D22A"">+20%</} lorsqu'il est équipé.","Beim Anlegen erhöht sich die Wiederherstellungsgeschwindigkeit von {Key.CD} <Color=""#79D22A"">+20%</} .","Увеличивается на <Color=""#79D22A"">+20%</} скорость восстановления {Key.CD} при установке."
TailoredMod,|,Title,WeaponModify,맞춤형 개조,Custom Modification,カスタム改造,定制改造,客製화改造,Modificação personalizada,Modificação personalizada,Modificación personalizada,Modificación personalizada,Mod personnalisé,Maßgeschneiderter Mod,Индивидуальная модификация
TailoredMod,|,Comment,WeaponModify,"장착 시 <Color=""#FFFFFF"">기본 공격</}이 {Dmg=+30%} 증가합니다.","{Dmg=+30%} for <Color=""#FFFFFF"">Normal Attacks</} when equipped.","装備時の<Color=""#FFFFFF"">基本攻撃</>{Dmg=+30%}","装备时，<Color=""#FFFFFF"">普通攻击</>{Dmg=+30%}。","裝備時 <Color=""#FFFFFF"">基本攻擊</} 增加 {Dmg=+30%}。","Ao equipar, <Color=""#FFFFFF"">ataque básico</} é aumentado em {Dmg=+30%}.","Ao equipar, o <Color=""#FFFFFF"">ataque básico</} aumenta {Dmg=+30%}.","Al equiparlo, <Color=""#FFFFFF"">ataque básico</} aumenta {Dmg=+30%}.","Al equiparlo, el <Color=""#FFFFFF"">ataque básico</} aumenta {Dmg=+30%}.","Lorsqu'il est équipé, <Color=""#FFFFFF"">l'attaque de base</} augmente de {Dmg=+30%}.","Beim Anlegen wird <Color=""#FFFFFF"">Basisangriff</} um {Dmg=+30%} erhöht.","При экипировке <Color=""#FFFFFF"">основная атака</} увеличивается на {Dmg=+30%}."
TrustedBlade,|,Title,WeaponModify,익숙한 무기,Trusty Weapon,馴染んだ武器,熟悉的武器,熟悉的武器,Arma familiar,Arma familiar,Arma familiar,Arma familiar,Arme familière,Vertraute Waffe,Знакомое оружие
TrustedBlade,|,Comment,WeaponModify,"장착 시 {Key.St} 소모가 <Color=""#FFFFFF"">1이하</}인 스킬 {Dmg=+3} 증가합니다.","{Dmg=+3} for skills that consume <Color=""#FFFFFF"">1 or less</} {Key.St} when equipped.","装備時{Key.St}消費が<Color=""#FFFFFF"">1以下</}のスキルの{Dmg=+3}増加。","装备时，{Key.St}消耗<Color=""#FFFFFF"">1或以下</}的技能{Dmg=+3}。","裝備時，若{Key.St} 消耗量<Color=""#FFFFFF"">1以下</}，技能{Dmg=+3} 增加。","Ao equipar, aumenta em {Dmg=+3} as habilidades que consomem {Key.St} <Color=""#FFFFFF"">1 ou menos</} .","Ao equipar, habilidades que consomem {Key.St} abaixo de <Color=""#FFFFFF"">1</} são aumentadas em {Dmg=+3}.","Al equipar, las habilidades cuyo consumo de {Key.St} sea menor o igual a <Color=""#FFFFFF"">1</} aumentan {Dmg=+3}.","Al equipar, las habilidades cuyo consumo de {Key.St} sea <Color=""#FFFFFF"">inferior a 1</} aumentan {Dmg=+3}.","Lorsque équipé, les compétences qui consomment {Key.St} <Color=""#FFFFFF"">1 ou moins</} augmentent de {Dmg=+3}.","Erhöht {Dmg=+3} des Skills, deren {Key.St} Verbrauch bei Ausrüstung <Color=""#FFFFFF"">1 oder weniger</} beträgt.","При экипировке навыки, требующие {Key.St} менее <Color=""#FFFFFF"">1</>, {Dmg=+3} увеличиваются."
