GroupID,|,TextID,Comment,ko,en,jp,zh,zh-cht,pt-br,pt,es-la,es,fr,de,ru
Speed_Overclock,|,Title,Normal,스피드 오버클럭,Speed Overclock,スピードオーバークロック,速度超频,速度超頻,Painel de Veloc,Painel Rápido,Panel Veloz,Pirateo de Velocidad,Surcadençage de vitesse,Geschwindigkeits-Overclocking,Скоростной оверклок
Speed_Overclock,|,Comment,Normal,"{ASpd=+30%} 증가, {Dmg=-20%} 감소합니다.",{ASpd=+30%} and {Dmg=-20%}.,{ASpd=+30%}、{Dmg=-20%},{ASpd=+30%}，{Dmg=-20%}。,"{ASpd=+30%} 增加, {Dmg=-20%} 減少","{ASpd=+30%} aumento, {Dmg=-20%} diminuição","{ASpd=+30%} aumento, {Dmg=-20%} redução","{ASpd=+30%} aumento, {Dmg=-20%} disminución","{ASpd=+30%} aumento, {Dmg=-20%} disminución","{ASpd=+30%} augmentation, {Dmg=-20%} diminution.","{ASpd=+30%} erhöht, {Dmg=-20%} verringert.","{ASpd=+30%} увеличение, {Dmg=-20%} уменьшение."
Power_Overclock,|,Title,Normal,파워 오버클럭,Power Overclock,パワーオーバークロック,力量超频,力量超頻,Painel de Força,Painel Potente,Panel Fuerte,Pirateo de Potencia,Surcadençage de puissance,Leistungs-Overclocking,Пауэр оверклок
Power_Overclock,|,Comment,Normal,"{Dmg=+30%} 증가, {ML=-20} 감소합니다.",{Dmg=+30%} and {ML=-20}.,{Dmg=+30%}、{ML=-20},{Dmg=+30%}，{ML=-20}。,{Dmg=+30%} 增加，{ML=-20} 減少。,"{Dmg=+30%} aumenta, {ML=-20} diminui.","{Dmg=+30%} aumenta, {ML=-20} diminui.","{Dmg=+30%} aumenta, {ML=-20} disminuye.","{Dmg=+30%} aumenta, {ML=-20} disminuye.","{Dmg=+30%} augmentation, {ML=-20} diminution.","{Dmg=+30%} erhöht, {ML=-20} verringert.","{Dmg=+30%} увеличение, {ML=-20} уменьшение."
EnergyDrink,|,Title,Normal,에너지 드링크,Energy Drink,エナジードリンク,能量饮料,能量飲料,Bebida Energética,Bebida Energética,Bebida Energética,Bebida Energética,Boisson énergisante,Energydrink,Энергетический напиток
EnergyDrink,|,Comment,Normal,{MSt=+1} 증가합니다.,{MSt=+1}.,{MSt=+1},{MSt=+1}。,最大 {St=+1} 增加,Máximo {St=+1} aumento,máximo {St=+1} aumento,máximo {St=+1} aumento,máximo {St=+1} aumento,{MSt=+1} augmente.,{MSt=+1} erhöht sich.,{MSt=+1} увеличивается.
Thunderbolt,|,Title,Normal,보조 파워,Auxiliary Power,サポートパワー,辅助力量,輔助動力,Fonte de Energia,Fonte de Energia,Fuente de Poder,Fuente de Energía,Puissance auxiliaire,Zusätzliche Energie,Дополнительная мощность
Thunderbolt,|,Comment,Normal,"{Key.ChgAtk}에 필요한 시간이 <Color=""#79D22A"">40%</} 감소합니다.","Reduces the time requirement of {Key.ChgAtk} by <Color=""#79D22A"">40%</} .","{Key.ChgAtk}に必要な時間が<Color=""#79D22A"">40%</}減少する。","{Key.ChgAtk}所需的时间减少<Color=""#79D22A"">40%</}。","{Key.ChgAtk}所需時間 <Color=""#79D22A"">減少40%</}","Tempo necessário para {Key.ChgAtk} <Color=""#79D22A"">40% diminuição</}","Tempo necessário para {Key.ChgAtk} <Color=""#79D22A"">reduzido em 40%</}","Tiempo requerido para {Key.ChgAtk} <Color=""#79D22A"">reducción del 40%</}","Tiempo necesario para {Key.ChgAtk} <Color=""#79D22A"">40% disminución</}","Le temps nécessaire pour {Key.ChgAtk} est réduit de <Color=""#79D22A"">40%</} .","Die benötigte Zeit für {Key.ChgAtk} verringert sich um <Color=""#79D22A"">40%</} .","Время, необходимое для {Key.ChgAtk}, сокращается на <Color=""#79D22A"">40%</} ."
HpPortion,|,Title,Normal,특수방탄조끼,Special Ballistic Vest,特殊防弾ベスト,特殊防弹背心,特殊防彈背心,Colete Especial,Colete Especial,Chaleco Especial,Chaleco Especial,Gilet pare-balles spécial,Spezial-Stichschutzweste,Специальный бронежилет
HpPortion,|,Comment,Normal,{ML=+20} 증가합니다.,{ML=+20},{ML=+20},{ML=+20}。,{ML=+20},{ML=+20} aumenta.,{ML=+20} aumenta.,{ML=+20} aumenta.,{ML=+20} aumenta.,{ML=+20} augmente.,{ML=+20} erhöht.,{ML=+20} увеличивается.
